Timestamp,"Departemen
Contoh : Sistem Informasi",Angkatan,Saya percaya bahwa hukum di Indonesia sudah memadai untuk menangani kasus phishing yang menargetkan mahasiswa.,Saya Merasa Penegakan hukum terhadap kejahatan phishing di Indonesia sudah cukup efektif.,Saya merasa Mahasiswa harus  memiliki pemahaman yang baik tentang risiko phishing di dunia maya.,Sistem hukum di Indonesia memberikan perlindungan yang memadai bagi mahasiswa dari kejahatan phishing.,Saya merasa aman menggunakan media sosial tanpa khawatir menjadi korban phishing.,Pihak berwenang di Indonesia aktif dalam memberikan edukasi tentang phishing kepada mahasiswa.,Saya percaya bahwa kerjasama antara institusi pendidikan dan penegak hukum dapat mengurangi kejahatan phishing.,Tindakan preventif terhadap phishing di lingkungan kampus sudah memadai.,Saya merasa bahwa laporan tentang kasus phishing ditangani dengan serius oleh pihak berwenang.,Pengetahuan tentang phishing seharusnya menjadi bagian dari kurikulum pendidikan di perguruan tinggi.,Saya setuju bahwa mahasiswa perlu lebih banyak pelatihan tentang cara mengenali phishing.,Sistem hukum Indonesia perlu diperbarui untuk menghadapi perkembangan teknologi yang berkaitan dengan phishing.,Saya percaya bahwa media massa berperan penting dalam meningkatkan kesadaran tentang phishing di kalangan mahasiswa.,Pihak kampus seharusnya memiliki kebijakan yang lebih ketat terhadap penggunaan teknologi informasi untuk mencegah phishing.,Saya merasa bahwa langkah-langkah hukum yang ada saat ini tidak cukup untuk mencegah kejahatan phishing.,Saya setuju bahwa ada kebutuhan untuk meningkatkan kerjasama internasional dalam menangani kejahatan phishing.,Pengetahuan saya tentang cara melindungi diri dari phishing sudah cukup baik.,Saya percaya bahwa kejahatan phishing dapat diatasi dengan pendekatan hukum yang lebih komprehensif.,Saya merasa bahwa mahasiswa perlu didorong untuk melaporkan kasus phishing yang mereka alami.
26/11/2024 21:16:14,Sistem Informasi,2023,3,1,4,2,1,1,2,2,2,2,3,1,4,3,2,3,2,4,3
27/11/2024 10:27:13,Sistem Informasi,2023,2,2,4,2,4,1,4,3,2,3,3,4,4,3,4,4,4,4,4
27/11/2024 13:39:25,sistem informasi,2023,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
27/11/2024 13:39:38,Sistem informasi,2023,4,4,3,3,3,2,4,3,3,4,4,4,3,4,3,3,3,3,3
27/11/2024 13:40:21,Teknik Kimia ,2024,3,1,4,2,2,1,3,3,2,4,4,4,4,4,4,4,3,4,4
27/11/2024 13:41:55,Sistem Informasi,2023,2,2,3,2,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3
27/11/2024 13:50:01,teknik informatika,2023,1,1,4,1,2,2,3,2,1,3,3,3,3,3,4,3,3,3,3
27/11/2024 13:51:22,Sistem Informasi,2023,2,1,4,2,2,2,4,2,2,3,4,3,3,3,3,3,3,4,4
27/11/2024 13:53:53,sisfor,2023,3,3,4,2,3,2,4,3,3,2,4,3,2,3,4,3,3,2,3
27/11/2024 14:01:33,Statistika,2023,2,2,4,2,2,3,4,3,2,4,4,4,4,4,3,4,2,4,4
27/11/2024 14:03:32,Teknik Elektro,2024,2,2,4,2,1,1,4,2,4,3,3,4,4,4,4,4,2,4,4
27/11/2024 14:14:48,Sistem Informasi,2023,3,3,4,3,4,4,4,4,3,3,4,4,3,3,4,4,4,3,3
27/11/2024 14:17:32,Sistem Informasi,2023,3,3,4,4,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4
27/11/2024 14:23:36,Sistem Informasi,2023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27/11/2024 14:29:33,Sistem Informasi,2023,2,2,4,2,2,2,3,3,2,4,2,4,3,1,2,2,4,2,2
27/11/2024 14:34:43,Sistem Informasi,2023,2,2,4,2,2,2,3,3,2,2,3,4,4,3,3,3,3,3,3
27/11/2024 14:53:10,Sistem Informasi,2022,2,2,2,3,3,3,4,3,4,3,4,4,4,3,3,3,3,3,4
27/11/2024 15:13:59,Sistem Informasi,2023,3,2,4,2,3,1,3,3,2,3,3,4,4,4,3,1,3,4,4
27/11/2024 15:27:16,Sistem Informasi ,2023,2,1,4,2,4,2,2,3,1,4,4,4,4,4,4,4,4,4,4
27/11/2024 15:37:28,Sistem Informasi ,2023,2,2,3,2,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3
27/11/2024 16:21:43,Sistem informasi ,2023,3,2,3,2,2,1,2,2,2,4,4,3,3,2,3,3,3,3,3
27/11/2024 16:49:18,Sistem Informasi,2023,4,3,4,3,3,2,4,4,3,4,3,4,4,4,4,4,4,4,4
27/11/2024 17:05:48,Teknik Sipil,2024,3,2,4,4,2,2,2,1,3,3,4,4,4,4,2,4,2,3,4
27/11/2024 17:49:21,Sistem Informasi,2023,2,1,4,2,4,1,3,2,2,3,3,3,4,3,4,3,4,3,3
27/11/2024 17:51:41,Teknik Informatika,2021++,1,1,4,1,3,1,2,3,2,3,4,3,4,3,4,4,4,3,3
27/11/2024 18:08:06,Sistem Informasi,2023,1,2,4,2,1,1,3,1,2,3,4,4,4,4,3,3,1,3,4
27/11/2024 18:36:11,Sistem Informasi,2023,2,2,4,2,2,2,4,4,4,2,3,3,3,4,3,3,2,3,3
27/11/2024 19:57:35,Sistem Informasi ,2021++,2,2,3,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4
27/11/2024 20:18:29,Sistem Informasi ,2023,2,2,4,3,3,2,4,2,3,3,3,4,2,4,2,3,3,2,3
27/11/2024 22:34:21,Sistem ,2023,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
28/11/2024 7:42:35,Sistem Informasi,2023,3,3,4,4,3,3,4,2,4,4,4,4,4,4,2,4,3,4,4
28/11/2024 8:30:21,Sistem Informasi,2023,1,1,4,1,1,2,4,3,2,4,4,4,4,4,3,4,3,4,4
28/11/2024 11:31:59,Sistem Informasi,2023,3,2,4,2,1,3,4,3,2,3,4,4,4,4,3,4,4,4,4